username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
himura 🏴🏴,3320749574,2021-03-10 13:02:45,@NowowoNowiwi @jokowi Kaget...,0,None,2232,3068,0.0,0.0
boLoLaMONGaN.Gq,1332948911648956417,2021-03-10 12:59:41,@verich62 @DSutiyanti @jokowi Auto pilot on,0,None,3,0,0.0,0.0
𝙳𝚎𝚗𝚒 𝙳𝚊𝚑𝚕𝚊𝚗 🇮🇩,1351080252185968640,2021-03-10 12:56:39,"RT @Achmaddahlan98: @_KateLamb @_KateLamb This has been going on even before pandemic, @jokowi and PDIP made clear statement back then that...",1,None,41,228,0.05000000000000001,0.19166666666666665
𝙳𝚎𝚗𝚒 𝙳𝚊𝚑𝚕𝚊𝚗 🇮🇩,1351080252185968640,2021-03-10 12:56:34,"@_KateLamb @_KateLamb This has been going on even before pandemic, @jokowi and PDIP made clear statement back then... https://t.co/56TeLou7lT",1,None,41,228,0.05000000000000001,0.19166666666666665
conanasme,1357544569940807680,2021-03-10 12:54:18,"RT @IdTechnas: BPPT Urged to Strengthen Tech Innovation Ecosystems https://t.co/WBe6d9EyXP via @medcom_id 

President @jokowi during the 20...",11,None,9,16,0.0,0.0
Severiano del Castillo Galván,525767783,2021-03-10 12:46:37,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,559,436,0.0,0.0
pte-bppt,884939625596305408,2021-03-10 12:43:45,"RT @IdTechnas: BPPT Urged to Strengthen Tech Innovation Ecosystems https://t.co/WBe6d9EyXP via @medcom_id 

President @jokowi during the 20...",11,None,196,148,0.0,0.0
PS,161035990,2021-03-10 12:41:01,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,199,605,0.0,0.0
WheatoMan,3358399041,2021-03-10 12:40:18,@emeraldlim11 @kyawwin78 @POTUS @BorisJohnson @eu_eeas @FCDOGovUK @NickKristof @jokowi @MuhyiddinYassin @Menlu_RI... https://t.co/jIyf0wXJvm,0,None,11,46,0.0,0.0
Harry Scoffin,16611761,2021-03-10 12:39:38,"RT @jagowriter: As we follow the brutal suppression of democracy in #Myanmar, democracy may be dying by a thousand cuts in #Indonesia: Indo...",5,Myanmar,2305,4976,-0.875,1.0
WheatoMan,3358399041,2021-03-10 12:38:56,@kyawwin78 @POTUS @BorisJohnson @eu_eeas @FCDOGovUK @NickKristof @jokowi @MuhyiddinYassin @Menlu_RI... https://t.co/s3avpPUral,0,None,11,46,0.0,0.0
#BanggaInovasiIndonesia,248502471,2021-03-10 12:36:58,"RT @IdTechnas: BPPT Urged to Strengthen Tech Innovation Ecosystems https://t.co/WBe6d9EyXP via @medcom_id 

President @jokowi during the 20...",11,None,38953,204,0.0,0.0
Technas_ID,1356954083391770631,2021-03-10 12:36:14,"BPPT Urged to Strengthen Tech Innovation Ecosystems https://t.co/WBe6d9EyXP via @medcom_id 

President @jokowi duri... https://t.co/nrJHfrPzBm",11,None,0,32,0.0,0.0
absalon lorie jr,1349995672477392896,2021-03-10 12:28:52,@_MbakSri_ JOKOWI is the best [?][?][?][?],0,None,503,620,1.0,0.3
LL,1111984737562714112,2021-03-10 12:23:49,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,51,62,0.0,0.0
u-chan,55189782,2021-03-10 12:23:36,"RT @NyuntEugene: @ArkarLet  [?]Safety first for peaceful communities, but close behind making a nuisance to the monsters who kill te...",1,None,264,760,0.033333333333333326,0.5111111111111111
Darktower. 'ꯁꯤꯗꯥꯔꯠ',101734313,2021-03-10 12:19:33,@kyawwin78 @POTUS @BorisJohnson @eu_eeas @FCDOGovUK @NickKristof @jokowi @MuhyiddinYassin @Menlu_RI... https://t.co/tZ0QgYDSa0,0,None,165,277,0.0,0.0
Cam is waiting for the #SnyderCut,1150572753319342080,2021-03-10 12:15:51,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,75,542,0.0,0.0
"🇹🇹Damian Anton Vincent #SnyderCut March 18, 2021",755460743525388288,2021-03-10 12:09:44,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,1120,2125,0.0,0.0
梅宮雅夫,52696392,2021-03-10 12:08:53,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,273,268,0.0,0.0
🤞🏼,1012299763,2021-03-10 11:59:12,RT @kyawwin78: Medic assist on ambulance have been beaten by the police. The cruelty and brutality have no limits with these fascist junta....,2532,None,405,597,0.0,0.0
🍓Kes⁷ fasn’t 🍊,1007226531234496512,2021-03-10 11:54:57,RT @Bunnynaxx: @shookethadmiral @yesisvmin @yeonhanbi @jokowi @DivHumas_Polri @nadiemmakarim Hanip disband party,1,None,1469,1520,0.0,0.0
